tumor_stage,Label_1,Label_2,Label_3,Label_4,Label_5
not reported,1.326699834,6.666666667,0.3597122302,0,0
stage i,8.623548922,6.666666667,9.352517986,0,0
stage ia,9.452736318,6.666666667,5.575539568,0,0
stage ib,0.6633499171,0,0.3597122302,0,0
stage ii,0.4975124378,0,0.3597122302,0,0
stage iia,31.50912106,46.66666667,32.73381295,66.66666667,50
stage iib,24.21227197,20,23.56115108,33.33333333,50
stage iii,0,0,0.3597122302,0,0
stage iiia,14.4278607,13.33333333,14.56834532,0,0
stage iiib,2.32172471,0,2.517985612,0,0
stage iiic,4.975124378,0,6.654676259,0,0
stage iv,1.326699834,0,2.517985612,0,0
stage x,0.6633499171,0,1.079136691,0,0
